| Bk | Index |  Tag  |   Word   | MESI |
| 25 | 00102 | 00001 | 00000004 |  I   | 
| 25 | 00103 | 00001 | 00000003 |  I   | 
|----|-------|-------|----------|------| 
| 26 | 00104 | 00001 | 00000009 |  I   | 
| 26 | 00105 | 00001 | 00000006 |  I   | 
| 26 | 00106 | 00001 | 00000001 |  I   | 
| 26 | 00107 | 00001 | 00000000 |  I   | 
|----|-------|-------|----------|------| 
| 27 | 00108 | 00001 | 00000000 |  I   | 
| 27 | 00109 | 00001 | 00000002 |  I   | 
| 27 | 00110 | 00001 | 00000008 |  I   | 
| 27 | 00111 | 00001 | 00000009 |  I   | 
|----|-------|-------|----------|------| 
| 28 | 00112 | 00001 | 00000008 |  I   | 
| 28 | 00113 | 00001 | 00000004 |  I   | 
| 28 | 00114 | 00001 | 00000002 |  I   | 
| 28 | 00115 | 00001 | 00000009 |  I   | 
|----|-------|-------|----------|------| 
| 29 | 00116 | 00001 | 00000004 |  I   | 
| 29 | 00117 | 00001 | 00000007 |  I   | 
| 29 | 00118 | 00001 | 00000007 |  I   | 
| 29 | 00119 | 00001 | 00000000 |  I   | 
|----|-------|-------|----------|------| 
| 30 | 00120 | 00001 | 00000008 |  I   | 
| 30 | 00121 | 00001 | 00000001 |  I   | 
| 30 | 00122 | 00001 | 00000009 |  I   | 
| 30 | 00123 | 00001 | 00000007 |  I   | 
|----|-------|-------|----------|------| 
| 31 | 00124 | 00001 | 00000008 |  I   | 
| 31 | 00125 | 00001 | 00000006 |  I   | 
| 31 | 00126 | 00001 | 00000006 |  I   | 
| 31 | 00127 | 00001 | 00000004 |  I   | 
|----|-------|-------|----------|------| 
| 32 | 00128 | 00001 | 00000006 |  I   | 
| 32 | 00129 | 00001 | 00000005 |  I   | 
| 32 | 00130 | 00001 | 00000001 |  I   | 
| 32 | 00131 | 00001 | 00000005 |  I   | 
|----|-------|-------|----------|------| 
| 33 | 00132 | 00001 | 00000006 |  I   | 
| 33 | 00133 | 00001 | 00000006 |  I   | 
| 33 | 00134 | 00001 | 00000006 |  I   | 
| 33 | 00135 | 00001 | 00000007 |  I   | 
|----|-------|-------|----------|------| 
| 34 | 00136 | 00001 | 00000007 |  I   | 
| 34 | 00137 | 00001 | 00000005 |  I   | 
